claim_id,source_repository,source_path,proposed_public_path,evidence_type,public_safety,sanitization_required,sanitization_method,provenance_method,priority
ACT-CLAIM-001,jeremy-homelab-ops,inventories/proxmox-inventory-20260626-010601.json,evidence-library/projects/on-prem-home-lab/current-validated-state/direct-evidence/act-claim-001-proxmox-inventory-20260626-010601.md,PRIMARY,SAFE,NO,No sanitization required after inspection for this narrow claim.,"Record source repo, commit, source path, SHA-256, generation command, and reviewer in provenance.json/csv.",P2
ACT-CLAIM-003,jeremy-homelab-ops,inventories/proxmox-inventory-20260626-010601.json,evidence-library/projects/on-prem-home-lab/current-validated-state/direct-evidence/act-claim-003-proxmox-inventory-20260626-010601.md,PRIMARY,SAFE,NO,No sanitization required after inspection for this narrow claim.,"Record source repo, commit, source path, SHA-256, generation command, and reviewer in provenance.json/csv.",P2
ACT-CLAIM-004,jeremy-homelab-ops,inventories/dc01-inventory-20260626-022543.json,evidence-library/projects/on-prem-home-lab/current-validated-state/direct-evidence/act-claim-004-dc01-inventory-20260626-022543.md,PRIMARY,SANITIZE,YES,"Create a narrow public-safe excerpt containing only fields needed for the claim; remove executing accounts, object identifiers, machine IDs, root paths, and unrelated internal details.","Record source repo, commit, source path, SHA-256, generation command, and reviewer in provenance.json/csv.",P1
ACT-CLAIM-005,jeremy-homelab-ops,inventories/ws01-inventory-20260626-012952.json,evidence-library/projects/on-prem-home-lab/current-validated-state/direct-evidence/act-claim-005-ws01-inventory-20260626-012952.md,PRIMARY,SANITIZE,YES,"Create a narrow public-safe excerpt containing only fields needed for the claim; remove executing accounts, object identifiers, machine IDs, root paths, and unrelated internal details.","Record source repo, commit, source path, SHA-256, generation command, and reviewer in provenance.json/csv.",P1
ACT-CLAIM-006,jeremy-homelab-ops,inventories/linux01-inventory-20260626-084312.json,evidence-library/projects/on-prem-home-lab/current-validated-state/direct-evidence/act-claim-006-linux01-inventory-20260626-084312.md,PRIMARY,SANITIZE,YES,"Create a narrow public-safe excerpt containing only fields needed for the claim; remove executing accounts, object identifiers, machine IDs, root paths, and unrelated internal details.","Record source repo, commit, source path, SHA-256, generation command, and reviewer in provenance.json/csv.",P1
ACT-CLAIM-007,jeremy-homelab-ops,inventories/linux01-inventory-20260626-084312.json,evidence-library/projects/on-prem-home-lab/current-validated-state/direct-evidence/act-claim-007-linux01-inventory-20260626-084312.md,PRIMARY,SANITIZE,YES,"Create a narrow public-safe excerpt containing only fields needed for the claim; remove executing accounts, object identifiers, machine IDs, root paths, and unrelated internal details.","Record source repo, commit, source path, SHA-256, generation command, and reviewer in provenance.json/csv.",P1
ACT-CLAIM-008,jeremy-homelab-ops,evidence/home-lab-source-reconciliation-20260626-012606.md,evidence-library/projects/on-prem-home-lab/current-validated-state/direct-evidence/act-claim-008-home-lab-source-reconciliation-20260626-012606.md,PROCEDURE,SAFE,NO,No sanitization required after inspection for this narrow claim.,"Record source repo, commit, source path, SHA-256, generation command, and reviewer in provenance.json/csv.",P2
ACT-CLAIM-009,jeremy-homelab-ops,inventories/dc01-inventory-20260626-022543.json,evidence-library/projects/on-prem-home-lab/current-validated-state/direct-evidence/act-claim-009-dc01-inventory-20260626-022543.md,PRIMARY,SANITIZE,YES,"Create a narrow public-safe excerpt containing only fields needed for the claim; remove executing accounts, object identifiers, machine IDs, root paths, and unrelated internal details.","Record source repo, commit, source path, SHA-256, generation command, and reviewer in provenance.json/csv.",P1
ACT-CLAIM-021,jeremy-homelab-ops,evidence/home-lab-source-reconciliation-20260626-012606.md,evidence-library/projects/on-prem-home-lab/current-validated-state/direct-evidence/act-claim-021-home-lab-source-reconciliation-20260626-012606.md,PROCEDURE,SAFE,NO,No sanitization required after inspection for this narrow claim.,"Record source repo, commit, source path, SHA-256, generation command, and reviewer in provenance.json/csv.",P2
ACT-CLAIM-022,jeremy-homelab-ops,evidence/home-lab-source-reconciliation-20260626-012606.md,evidence-library/projects/on-prem-home-lab/current-validated-state/direct-evidence/act-claim-022-home-lab-source-reconciliation-20260626-012606.md,PROCEDURE,SAFE,NO,No sanitization required after inspection for this narrow claim.,"Record source repo, commit, source path, SHA-256, generation command, and reviewer in provenance.json/csv.",P2
ACT-CLAIM-023,jeremy-homelab-ops,evidence/linux01-sssd-remediation-20260626-110159.md,evidence-library/projects/on-prem-home-lab/current-validated-state/direct-evidence/act-claim-023-linux01-sssd-remediation-20260626-110159.md,PROCEDURE,SANITIZE,YES,"Create a narrow public-safe excerpt containing only fields needed for the claim; remove executing accounts, object identifiers, machine IDs, root paths, and unrelated internal details.","Record source repo, commit, source path, SHA-256, generation command, and reviewer in provenance.json/csv.",P1
ACT-CLAIM-024,jeremy-homelab-ops,evidence/linux01-sssd-remediation-20260626-110159.md,evidence-library/projects/on-prem-home-lab/current-validated-state/direct-evidence/act-claim-024-linux01-sssd-remediation-20260626-110159.md,PROCEDURE,SANITIZE,YES,"Create a narrow public-safe excerpt containing only fields needed for the claim; remove executing accounts, object identifiers, machine IDs, root paths, and unrelated internal details.","Record source repo, commit, source path, SHA-256, generation command, and reviewer in provenance.json/csv.",P1
ACT-CLAIM-025,jeremy-homelab-ops,evidence/linux01-sssd-remediation-20260626-110159.md,evidence-library/projects/on-prem-home-lab/current-validated-state/direct-evidence/act-claim-025-linux01-sssd-remediation-20260626-110159.md,PROCEDURE,SANITIZE,YES,"Create a narrow public-safe excerpt containing only fields needed for the claim; remove executing accounts, object identifiers, machine IDs, root paths, and unrelated internal details.","Record source repo, commit, source path, SHA-256, generation command, and reviewer in provenance.json/csv.",P1
ACT-CLAIM-026,jeremy-homelab-ops,evidence/linux01-sssd-remediation-20260626-110159.md,evidence-library/projects/on-prem-home-lab/current-validated-state/direct-evidence/act-claim-026-linux01-sssd-remediation-20260626-110159.md,PROCEDURE,SANITIZE,YES,"Create a narrow public-safe excerpt containing only fields needed for the claim; remove executing accounts, object identifiers, machine IDs, root paths, and unrelated internal details.","Record source repo, commit, source path, SHA-256, generation command, and reviewer in provenance.json/csv.",P1
ACT-CLAIM-027,jeremy-homelab-ops,evidence/repository-validation-20260626-010050.md,evidence-library/projects/on-prem-home-lab/current-validated-state/direct-evidence/act-claim-027-repository-validation-20260626-010050.md,PROCEDURE,SAFE,NO,No sanitization required after inspection for this narrow claim.,"Record source repo, commit, source path, SHA-256, generation command, and reviewer in provenance.json/csv.",P2
ACT-CLAIM-048,jeremy-homelab-ops,evidence/home-lab-source-reconciliation-20260626-012606.md,evidence-library/projects/on-prem-home-lab/current-validated-state/direct-evidence/act-claim-048-home-lab-source-reconciliation-20260626-012606.md,PROCEDURE,SAFE,NO,No sanitization required after inspection for this narrow claim.,"Record source repo, commit, source path, SHA-256, generation command, and reviewer in provenance.json/csv.",P2
