"path","originalSourcePath","title","status","proofType","relatedProject","relatedSkill","confidenceLevel","preservationStatus"
"assets/documents/Jeremy-Fontenot-On-Premises-Home-Lab-Documentation.docx","Jeremy-Fontenot-On-Premises-Home-Lab-Documentation.docx","Jeremy Fontenot’s On-Premises Home Lab Documentation","AUTHORITATIVE","document","On-Premises Home Lab","Infrastructure","current-validated-state","TECHNICAL PROOF"
"evidence-library/projects/on-prem-home-lab/validated-2026-06-21/manifest.json","curated from verified local evidence sources","On-Premises Home Lab Evidence Manifest","AUTHORITATIVE","manifest","On-Premises Home Lab","Evidence Governance","validated-2026-06-21","VALIDATED PUBLIC PROOF"
"evidence-library/architecture-diagrams/identity-access-ad-migration-diagram-2026.svg","assets/evidence/ad-migration-diagram.svg","Identity Access AD Migration Diagram","AUTHORITATIVE","diagram","Identity and Access","Active Directory","reviewed-preserve","CONFIRMED VALID PROOF"
"evidence-library/architecture-diagrams/home-lab-network-topology-diagram-2026.svg","historical home lab diagram asset","Home Lab Network Topology Diagram","AUTHORITATIVE","diagram","Home Lab","Networking / VLANs","reviewed-preserve","CONFIRMED VALID PROOF"
"evidence-library/projects/microsoft-365-lab/microsoft-365-lab-conditional-access-baseline-configuration-2026.yaml","docs/projects/m365-lab/artifacts/conditional-access-baseline.yaml","Microsoft 365 Conditional Access Baseline Configuration","AUTHORITATIVE","configuration","Microsoft 365 Lab","Microsoft 365 Administration","reviewed-preserve","CONFIRMED VALID PROOF"
"evidence-library/architecture-diagrams/microsoft-365-lab-architecture-diagram-2026.svg","assets/evidence/m365-lab-architecture.svg","Microsoft 365 Lab Architecture Diagram","AUTHORITATIVE","diagram","Microsoft 365 Lab","Microsoft 365 Administration","reviewed-preserve","CONFIRMED VALID PROOF"
"evidence-library/scripts/powershell-automation-provisioning-script-v1.ps1","docs/projects/ad-migration/artifacts/provisioning.ps1","PowerShell Provisioning Script","AUTHORITATIVE","script","PowerShell Automation","PowerShell","reviewed-preserve","CONFIRMED VALID PROOF"
"evidence-library/projects/identity-access/identity-access-change-record-notes-2026.md","docs/projects/ad-migration/artifacts/change-record.md","Identity Access Change Record Notes","AUTHORITATIVE","notes","Identity and Access","Documentation","reviewed-preserve","CONFIRMED VALID PROOF"
"evidence-library/projects/troubleshooting-rca/troubleshooting-rca-incident-log-2025.txt","evidence/public/incident-2025-02-10-logs.txt","Troubleshooting RCA Incident Log","AUTHORITATIVE","troubleshooting-record","Troubleshooting / RCA","Service Desk Support","reviewed-preserve","CONFIRMED VALID PROOF"
"evidence-library/experience/jeremy-fontenot-resume-2026.pdf","assets/resume/jeremy-fontenot-resume.pdf","Jeremy Fontenot Resume","AUTHORITATIVE","document","Experience","Documentation","reviewed-preserve","CONFIRMED VALID PROOF"
"evidence-library/screenshots/portfolio-visual-screenshot-2026.png","assets/website-images/4K Cinematic Version.png","Portfolio Visual Screenshot","SUPPORTING ARCHIVE","image","General Portfolio Evidence","Documentation","reviewed-preserve","HISTORICAL ARCHIVE EVIDENCE"
"evidence-library/certifications/certification-lpi-badge-2026.png","assets/certifications/badges/lpi_badge.png","LPI Badge Evidence","AUTHORITATIVE","image","Certifications","Documentation","reviewed-preserve","CONFIRMED VALID PROOF"
