claim_id,page,exact_public_claim,current_target,strongest_available_evidence,problem,recommended_classification,recommended_action
SITE-CLAIM-0001,active-directory-lab.html,This legacy route has been retired. The active portfolio now focuses on verified Microsoft 365 and Entra evidence.,,evidence-library/projects/microsoft-365-lab/entra-activity-proof-20260605-043730/sign-ins-recent.csv,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented pending public-safe direct evidence,"Copy a sanitized public-safe direct evidence excerpt with provenance and hash, or downgrade/remove the claim. Run sensitive-data review before any publication."
SITE-CLAIM-0005,active-directory-lab.html,This legacy page is no longer part of the active public proof surface.,projects.html,artifacts/target-local-collection/Linux01/linux01-sssd-diagnostic-20260626-094322.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented,Add a direct PRIMARY/PROCEDURE/VISUAL evidence link or downgrade the claim/link label. Run sensitive-data review before any publication.
SITE-CLAIM-0010,archive/pre-site-upgrade-20260602/active-directory-lab.html,Jeremy Fontenot Home Projects Proof Dashboard Resume Contact,archive/pre-site-upgrade-20260602/index.html; archive/pre-site-upgrade-20260602/index.html; archive/pre-site-upgrade-20260602/projects.html; archive/pre-site-upgrade-20260602/proof.html; archive/pre-site-upgrade-20260602/dashboard.html; archive/pre-site-upgrade-20260602/resume.html; archive/pre-site-upgrade-20260602/contact.html,artifacts/target-local-collection/Linux01/linux01-sssd-diagnostic-20260626-094322.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented,Add a direct PRIMARY/PROCEDURE/VISUAL evidence link or downgrade the claim/link label. Run sensitive-data review before any publication.
SITE-CLAIM-0025,archive/pre-site-upgrade-20260602/contact.html,Jeremy Fontenot Home Projects Proof Dashboard Resume Contact,archive/pre-site-upgrade-20260602/index.html; archive/pre-site-upgrade-20260602/index.html; archive/pre-site-upgrade-20260602/projects.html; archive/pre-site-upgrade-20260602/proof.html; archive/pre-site-upgrade-20260602/dashboard.html; archive/pre-site-upgrade-20260602/resume.html; archive/pre-site-upgrade-20260602/contact.html,artifacts/target-local-collection/Linux01/linux01-sssd-diagnostic-20260626-094322.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented,Add a direct PRIMARY/PROCEDURE/VISUAL evidence link or downgrade the claim/link label. Run sensitive-data review before any publication.
SITE-CLAIM-0029,archive/pre-site-upgrade-20260602/contact.html,"Recruiters, hiring managers, and IT leaders can start with the resume, then use the project and proof pages to review supporting work.",archive/pre-site-upgrade-20260602/assets/resume/jeremy-fontenot-resume.pdf; archive/pre-site-upgrade-20260602/projects.html; archive/pre-site-upgrade-20260602/proof.html,artifacts/target-local-collection/Linux01/linux01-sssd-diagnostic-20260626-094322.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Unsupported until link resolves,Fix or remove broken evidence link; then retest link resolution. Run sensitive-data review before any publication.
SITE-CLAIM-0030,archive/pre-site-upgrade-20260602/contact.html,"Download Resume Review Projects Open Proof Role Fit Recruiter-ready 01 Current focus Enterprise Service Desk, IT Support, and Microsoft 365 operations.",archive/pre-site-upgrade-20260602/assets/resume/jeremy-fontenot-resume.pdf; archive/pre-site-upgrade-20260602/projects.html; archive/pre-site-upgrade-20260602/proof.html,artifacts/visual-review/current/visual-review-results.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Unsupported until link resolves,Fix or remove broken evidence link; then retest link resolution.
SITE-CLAIM-0031,archive/pre-site-upgrade-20260602/contact.html,"03 Review path Resume, proof documents, scripts, diagrams, and project pages are available for fast screening.",archive/pre-site-upgrade-20260602/assets/resume/jeremy-fontenot-resume.pdf; archive/pre-site-upgrade-20260602/projects.html; archive/pre-site-upgrade-20260602/proof.html,artifacts/target-local-collection/Linux01/linux01-sssd-diagnostic-20260626-094322.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Unsupported until link resolves,Fix or remove broken evidence link; then retest link resolution. Run sensitive-data review before any publication.
SITE-CLAIM-0034,archive/pre-site-upgrade-20260602/dashboard.html,Jeremy Fontenot Home Projects Proof Dashboard Resume Contact,archive/pre-site-upgrade-20260602/index.html; archive/pre-site-upgrade-20260602/index.html; archive/pre-site-upgrade-20260602/projects.html; archive/pre-site-upgrade-20260602/proof.html; archive/pre-site-upgrade-20260602/dashboard.html; archive/pre-site-upgrade-20260602/resume.html; archive/pre-site-upgrade-20260602/contact.html,artifacts/target-local-collection/Linux01/linux01-sssd-diagnostic-20260626-094322.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented,Add a direct PRIMARY/PROCEDURE/VISUAL evidence link or downgrade the claim/link label. Run sensitive-data review before any publication.
SITE-CLAIM-0036,archive/pre-site-upgrade-20260602/dashboard.html,Review Proof Library Repository health file Governance Tracked CI Validation Repository checks remain part of release readiness.,archive/pre-site-upgrade-20260602/proof.html; archive/pre-site-upgrade-20260602/artifacts/dashboard/repository-health.md,evidence/home-lab-backup-restore-validation-20260629.txt,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Unsupported until link resolves,Fix or remove broken evidence link; then retest link resolution.
SITE-CLAIM-0038,archive/pre-site-upgrade-20260602/dashboard.html,"LINK Proof Evidence paths Resume downloads, proof documents, diagrams, scripts, and public evidence links are treated as release blockers.",,artifacts/target-local-collection/Linux01/linux01-sssd-diagnostic-20260626-094322.json,"Validated claim does not currently resolve to public PRIMARY, PROCEDURE, or adequate VISUAL evidence.",Documented pending public-safe direct evidence,"Copy a sanitized public-safe direct evidence excerpt with provenance and hash, or downgrade/remove the claim. Run sensitive-data review before any publication."
