"claim","classification","supporting_artifact","limitation","document_title"
"Proxmox VE 9.2.3 and four primary VMs are current supported state.","Validated","evidence-library/projects/on-prem-home-lab/current-validated-state/source-summaries/home-lab-source-of-truth.md","Current records are repository evidence, not live public telemetry.","Jeremy Fontenot’s On-Premises Home Lab Documentation"
"Linux01 is currently treated as VLAN 30 at 10.10.30.20/24.","Validated","evidence-library/projects/on-prem-home-lab/current-validated-state/source-summaries/home-lab-source-reconciliation.md","Older 10.10.20.x Linux evidence is historical.","Jeremy Fontenot’s On-Premises Home Lab Documentation"
"Backup job configuration is visible for VMs 100/200/300/400 on backup-hdd.","Tested","evidence-library/projects/on-prem-home-lab/current-validated-state/source-summaries/backup-and-restore-validation.md","Does not prove recurring restore assurance, RTO, or RPO.","Jeremy Fontenot’s On-Premises Home Lab Documentation"
"Linux01 SSSD remediation is documented as remediated and validated.","Validated","evidence-library/projects/on-prem-home-lab/current-validated-state/source-summaries/linux01-sssd-remediation.md","Personal lab only.","Jeremy Fontenot’s On-Premises Home Lab Documentation"
"Jeremy has employer production systems-administrator experience.","Limitation","Not claimed","Professional positioning remains Service Desk and IT Support progressing toward infrastructure operations.","Jeremy Fontenot’s On-Premises Home Lab Documentation"
"Proxmox VE 9.2.3, primary VM inventory, guest-agent state, and Linux01 VLAN tag where captured.","Validated","evidence-library/projects/on-prem-home-lab/current-validated-state/direct-evidence/proxmox-platform-inventory.md","Captured-state evidence only; does not prove guest OS health, firewall policy, AD health, or ongoing availability.","Jeremy Fontenot’s On-Premises Home Lab Documentation"
"Configured Proxmox backup job backup-critical-lab-vms, schedule, mode, compression, retention, storage, and target VMs.","Configured","evidence-library/projects/on-prem-home-lab/current-validated-state/direct-evidence/proxmox-backup-configuration.md","Configuration presence does not prove every recent backup task succeeded, restore integrity, RTO, RPO, or recurring restore assurance.","Jeremy Fontenot’s On-Premises Home Lab Documentation"
"Active backup-hdd storage and retained backup counts for VMs 100, 200, 300, and 400, with thin-pool limitations retained.","Documented / Limitation","evidence-library/projects/on-prem-home-lab/current-validated-state/direct-evidence/proxmox-backup-inventory.md","Archive count does not prove backup integrity; no all-recent-backups-succeeded claim; thin-pool warning is an operational limitation, not a failed restore.","Jeremy Fontenot’s On-Premises Home Lab Documentation"
"One isolated Linux01 restore drill from VM 400 to temporary VM 401 with guest identity, QEMU Guest Agent response, shutdown, and purge.","Tested","evidence-library/projects/on-prem-home-lab/current-validated-state/direct-evidence/proxmox-restore-validation.md","One isolated restore drill only; no recurring restore assurance, RTO, RPO, full DR, SLA, production, or employer-system claim.","Jeremy Fontenot’s On-Premises Home Lab Documentation"
"DC01 Windows Server 2022, AD DS, DNS, DHCP, Group Policy Management, domain, Global Catalog, FSMO role ownership, and IP.","Validated","evidence-library/projects/on-prem-home-lab/current-validated-state/direct-evidence/dc01-system-and-role-validation.md","Captured inventory only; does not prove ongoing AD health, production readiness, or service availability beyond captured state.","Jeremy Fontenot’s On-Premises Home Lab Documentation"
"WS01 VM 300 association, Windows 10 Pro 10.0.19045 build 19045, domain membership, secure channel, and network state.","Validated","evidence-library/projects/on-prem-home-lab/current-validated-state/direct-evidence/ws01-system-and-domain-validation.md","Captured inventory only; does not claim complete endpoint hardening or complete application/service validation.","Jeremy Fontenot’s On-Premises Home Lab Documentation"
"Linux01 VM 400, Ubuntu 26.04 LTS, kernel, VLAN 30, 10.10.30.20/24, gateway, DNS, current-versus-historical address boundary, and domain integration indicators.","Validated","evidence-library/projects/on-prem-home-lab/current-validated-state/direct-evidence/linux01-system-network-domain-validation.md","Does not claim all Linux domain-authentication paths were tested; timeout/listener observations are not complete firewall validation.","Jeremy Fontenot’s On-Premises Home Lab Documentation"
"Linux01-only SSSD responder/socket conflict remediation and post-remediation validation, including AD identity lookup and new AD-authenticated SSH session.","Validated","evidence-library/projects/on-prem-home-lab/current-validated-state/direct-evidence/linux01-sssd-remediation-validation.md","Linux01 only; does not claim all Linux domain-authentication paths were tested or recurring assurance.","Jeremy Fontenot’s On-Premises Home Lab Documentation"
