claim_id,canonical_claim,locations,current_classification,current_links,current_link_types,direct_evidence_found,direct_evidence_repository,direct_evidence_path,direct_evidence_type,supporting_evidence_path,provenance_path,public_safety,sanitization_notes,recommended_classification,limitation,remediation_action,status
ACT-CLAIM-001,The personal home lab uses Proxmox VE 9.2.3 as the hypervisor.,index.html:home-lab card; projects.html:home-lab project; on-prem-home-lab.html:topology; home-lab-operations-proof.html:inventory table; proof.html:home lab proof,Current; Validated,proof.html#home-lab-proof; evidence-library/projects/on-prem-home-lab/current-validated-state/source-summaries/home-lab-source-of-truth.md,proof index; SUPPORTING,YES,jeremy-homelab-ops,inventories/proxmox-inventory-20260626-010601.json,PRIMARY,evidence-library/projects/on-prem-home-lab/current-validated-state/source-summaries/home-lab-source-of-truth.md,evidence-library/projects/on-prem-home-lab/current-validated-state/provenance.json,SAFE,Inspected Proxmox inventory path for the narrow version claim; no secret material identified.,Validated,Personal nonproduction lab only.,Publish a sanitized/direct inventory excerpt or stop labeling the summary route as full evidence.,DIRECT_SOURCE_AVAILABLE
ACT-CLAIM-002,"VMs 100, 200, 300, and 400 are the current primary lab VMs and were observed running.",index.html:current supported state; projects.html:home-lab evidence; on-prem-home-lab.html:validated state; home-lab-operations-proof.html:inventory table; proof.html:home lab proof; dashboard.html:systems metric,Current; Validated,evidence-library/projects/on-prem-home-lab/validated-2026-06-29/home-lab-backup-restore-validation-20260629.txt; evidence-library/projects/on-prem-home-lab/current-validated-state/manifest.json,PRIMARY/PROCEDURE; INDEX,YES,jeremyfontenot,evidence-library/projects/on-prem-home-lab/validated-2026-06-29/home-lab-backup-restore-validation-20260629.txt,PRIMARY,evidence-library/projects/on-prem-home-lab/current-validated-state/manifest.json,evidence-library/projects/on-prem-home-lab/current-validated-state/provenance.json,SAFE,"Public text evidence lists VMIDs, names, and running state without secrets.",Validated,Does not prove guest application health beyond listed checks.,Keep direct evidence link prominent.,DIRECT_PUBLIC_EVIDENCE
ACT-CLAIM-003,pfSense is represented as VM 100 in the lab inventory.,projects.html:home-lab environment; on-prem-home-lab.html:topology; home-lab-operations-proof.html:inventory table; proof.html:home lab proof,Current; Validated,proof.html#home-lab-proof; evidence-library/projects/on-prem-home-lab/current-validated-state/manifest.json,proof index; INDEX,YES,jeremy-homelab-ops,inventories/proxmox-inventory-20260626-010601.json,PRIMARY,evidence-library/projects/on-prem-home-lab/current-validated-state/source-summaries/home-lab-source-of-truth.md,evidence-library/projects/on-prem-home-lab/current-validated-state/provenance.json,SAFE,Proxmox inventory directly records VM 100 and name; no unrelated Linux evidence used.,Validated,Does not prove pfSense rule correctness or full firewall assurance.,Publish sanitized/direct Proxmox VM excerpt if the claim remains labeled Validated.,DIRECT_SOURCE_AVAILABLE
ACT-CLAIM-004,DC01 is VM 200 running Windows Server 2022 and serving the ad.jeremyfontenot.online/JFAD domain.,projects.html:home-lab environment; on-prem-home-lab.html:topology; home-lab-operations-proof.html:inventory table; proof.html:home lab proof; resume.html:Windows/AD skills,Current; Validated,evidence-library/projects/on-prem-home-lab/screenshots/figure-02-dc01-adds-fsmo-roles.png; evidence-library/projects/on-prem-home-lab/current-validated-state/source-summaries/home-lab-source-of-truth.md,VISUAL; SUPPORTING,YES,jeremy-homelab-ops,inventories/dc01-inventory-20260626-022543.json,PRIMARY,evidence-library/projects/on-prem-home-lab/current-validated-state/source-summaries/home-lab-inventory-validation.md,evidence-library/projects/on-prem-home-lab/current-validated-state/provenance.json,SANITIZE,Raw DC01 inventory includes executing account and internal object details; publish a sanitized excerpt only.,Validated,Personal lab domain only; no employer or production administration implied.,Add sanitized DC01 inventory excerpt and keep screenshots as visual supplements.,DIRECT_SOURCE_AVAILABLE_SANITIZE
ACT-CLAIM-005,WS01 is VM 300 running Windows 10 Pro 10.0.19045 build 19045 on the lab network.,projects.html:home-lab environment; on-prem-home-lab.html:topology; home-lab-operations-proof.html:inventory table; proof.html:home lab proof,Current; Validated,proof.html#home-lab-proof; evidence-library/projects/on-prem-home-lab/current-validated-state/source-summaries/home-lab-source-of-truth.md,proof index; SUPPORTING,YES,jeremy-homelab-ops,inventories/ws01-inventory-20260626-012952.json,PRIMARY,evidence-library/projects/on-prem-home-lab/current-validated-state/source-summaries/home-lab-inventory-validation.md,evidence-library/projects/on-prem-home-lab/current-validated-state/provenance.json,SANITIZE,Raw WS01 inventory includes account and local admin details; sanitized excerpt required for publication.,Validated,Does not establish production workstation administration.,Publish sanitized WS01 OS/network/domain excerpt before linking as direct public proof.,DIRECT_SOURCE_AVAILABLE_SANITIZE
ACT-CLAIM-006,Linux01 is VM 400 running Ubuntu 26.04 LTS with kernel 7.0.0-22-generic.,projects.html:home-lab environment; on-prem-home-lab.html:topology and Linux01 card; home-lab-operations-proof.html:inventory table; proof.html:home lab proof; resume.html:Linux/networking skills,Current; Validated,evidence-library/projects/on-prem-home-lab/screenshots/figure-12-linux01-system-state.png; evidence-library/projects/on-prem-home-lab/current-validated-state/source-summaries/home-lab-source-of-truth.md,VISUAL; SUPPORTING,YES,jeremy-homelab-ops,inventories/linux01-inventory-20260626-084312.json,PRIMARY,evidence-library/projects/on-prem-home-lab/current-validated-state/source-summaries/home-lab-inventory-validation.md,evidence-library/projects/on-prem-home-lab/current-validated-state/provenance.json,SANITIZE,Raw Linux inventory includes host identifiers and execution context; publish a narrow sanitized excerpt.,Validated,Personal lab host only.,Use sanitized Linux01 OS/kernel excerpt; keep screenshot as visual supplement.,DIRECT_SOURCE_AVAILABLE_SANITIZE
ACT-CLAIM-007,Linux01 is on VLAN 30 at 10.10.30.20/24 with gateway 10.10.30.1 and DNS 10.10.20.10.,index.html:current supported state; projects.html:home-lab environment; on-prem-home-lab.html:validated state and topology; home-lab-operations-proof.html:inventory table; proof.html:home lab proof,Current; Validated,evidence-library/projects/on-prem-home-lab/current-validated-state/source-summaries/home-lab-source-reconciliation.md; evidence-library/projects/on-prem-home-lab/screenshots/figure-12-linux01-system-state.png,SUPPORTING; VISUAL,YES,jeremy-homelab-ops,inventories/linux01-inventory-20260626-084312.json,PRIMARY,evidence-library/projects/on-prem-home-lab/current-validated-state/source-summaries/home-lab-source-reconciliation.md,evidence-library/projects/on-prem-home-lab/current-validated-state/provenance.json,SANITIZE,Raw inventory includes internal host identifiers; sanitize to network fields and provenance hash.,Validated,Does not prove all inter-VLAN policy behavior.,Publish sanitized network-state excerpt or adjust label to reconciliation summary.,DIRECT_SOURCE_AVAILABLE_SANITIZE
ACT-CLAIM-008,Older Linux01 10.10.20.x references are historical and not the current supported Linux01 address.,on-prem-home-lab.html:validated state; proof.html:home lab proof,Limitation; Historical,evidence-library/projects/on-prem-home-lab/current-validated-state/source-summaries/home-lab-source-reconciliation.md,SUPPORTING,YES,jeremy-homelab-ops,evidence/home-lab-source-reconciliation-20260626-012606.md,PROCEDURE,evidence-library/projects/on-prem-home-lab/current-validated-state/source-summaries/home-lab-source-reconciliation.md,evidence-library/projects/on-prem-home-lab/current-validated-state/provenance.json,SAFE,Reconciliation source states current versus historical boundary.,Limitation,Boundary statement only; not a new capability claim.,Keep limitation visible wherever old Linux01 references appear.,DIRECT_SOURCE_AVAILABLE
ACT-CLAIM-009,"DC01 evidence supports AD DS, DNS, DHCP, Group Policy, FSMO role ownership, and Windows Server 2022 administration in the lab.",index.html:current supported state; projects.html:home-lab validation; on-prem-home-lab.html:DC01 card; proof.html:home lab proof; resume.html:Windows/AD skills,Validated,evidence-library/projects/on-prem-home-lab/screenshots/figure-02-dc01-adds-fsmo-roles.png; evidence-library/projects/on-prem-home-lab/screenshots/figure-04-dc01-dns-forward-reverse-zones.png; evidence-library/projects/on-prem-home-lab/screenshots/figure-05-dc01-dhcp-scope-options.png; evidence-library/projects/on-prem-home-lab/screenshots/figure-07-dc01-gpo-inventory.png,VISUAL; VISUAL; VISUAL; VISUAL,YES,jeremy-homelab-ops,inventories/dc01-inventory-20260626-022543.json,PRIMARY,evidence-library/projects/on-prem-home-lab/current-validated-state/source-summaries/home-lab-inventory-validation.md,evidence-library/projects/on-prem-home-lab/current-validated-state/provenance.json,SANITIZE,Raw DC01 inventory includes account/object details; screenshots are supplements but not enough for every subclaim.,Validated,Lab administration only; no enterprise scale or production SLA implied.,Publish sanitized DC01 role/FSMO/DNS/DHCP/GPO excerpt and retitle visual-only links where needed.,DIRECT_SOURCE_AVAILABLE_SANITIZE
ACT-CLAIM-010,The AD/FSMO screenshot displays DC01 AD DS role and FSMO role state.,on-prem-home-lab.html:figure captions; proof.html:screenshot evidence,Validated,evidence-library/projects/on-prem-home-lab/screenshots/figure-02-dc01-adds-fsmo-roles.png,VISUAL,YES,jeremyfontenot,evidence-library/projects/on-prem-home-lab/screenshots/figure-02-dc01-adds-fsmo-roles.png,VISUAL,evidence-library/projects/on-prem-home-lab/screenshots/screenshots-manifest.json,evidence-library/projects/on-prem-home-lab/current-validated-state/provenance.json,NOT_INSPECTED_BINARY,Binary screenshot path exists; this audit did not OCR/re-render the PNG contents.,Validated if visual contents remain as captioned,Screenshot is visual evidence only for visible state.,Pair with sanitized DC01 inventory for stronger proof.,DIRECT_PUBLIC_VISUAL_NOT_INSPECTED
