page,link_text,target,resolution_status,target_exists,target_type,problem,recommended_fix
archive/pre-site-upgrade-20260602/active-directory-lab.html,Proof,./proof.html,OK,YES,LIMITATION,,
archive/pre-site-upgrade-20260602/active-directory-lab.html,Open Windows Server Evidence,./evidence-library/windows-server/windows-server-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/active-directory-lab.html,Open DHCP/DNS Evidence,./evidence-library/network/dhcp-dns-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/active-directory-lab.html,Windows Server evidence notes,./evidence-library/windows-server/windows-server-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/active-directory-lab.html,DHCP/DNS evidence notes,./evidence-library/network/dhcp-dns-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/contact.html,Proof,./proof.html,OK,YES,LIMITATION,,
archive/pre-site-upgrade-20260602/contact.html,Open Proof,./proof.html,OK,YES,LIMITATION,,
archive/pre-site-upgrade-20260602/dashboard.html,Proof,./proof.html,OK,YES,LIMITATION,,
archive/pre-site-upgrade-20260602/dashboard.html,Review Proof Library,./proof.html,OK,YES,LIMITATION,,
archive/pre-site-upgrade-20260602/index.html,Proof,./proof.html,OK,YES,LIMITATION,,
archive/pre-site-upgrade-20260602/index.html,Open Proof Library,./proof.html,OK,YES,LIMITATION,,
archive/pre-site-upgrade-20260602/index.html,Verify Supporting Proof,./proof.html,OK,YES,LIMITATION,,
archive/pre-site-upgrade-20260602/index.html,Proof,./proof.html,OK,YES,LIMITATION,,
archive/pre-site-upgrade-20260602/index.html,Evidence library,./evidence-library/index.html,BROKEN,NO,INDEX,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/infrastructure.html,Proof,./proof.html,OK,YES,LIMITATION,,
archive/pre-site-upgrade-20260602/infrastructure.html,Open Proxmox Evidence,./evidence-library/proxmox/proxmox-host-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/infrastructure.html,Windows Server Evidence,./evidence-library/windows-server/windows-server-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/infrastructure.html,Proxmox host evidence,./evidence-library/proxmox/proxmox-host-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/infrastructure.html,Windows Server evidence,./evidence-library/windows-server/windows-server-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/infrastructure.html,DHCP/DNS evidence,./evidence-library/network/dhcp-dns-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/infrastructure.html,Firewall evidence,./evidence-library/network/firewall-rules-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/infrastructure.html,VPN evidence,./evidence-library/vpn/vpn-configuration-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/microsoft-365-lab.html,Proof,./proof.html,OK,YES,LIMITATION,,
archive/pre-site-upgrade-20260602/microsoft-365-lab.html,Open M365 Architecture Evidence,./evidence-library/architecture/microsoft-365-architecture-overview.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/microsoft-365-lab.html,Conditional Access Evidence,./evidence-library/conditional-access/conditional-access-baseline-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/microsoft-365-lab.html,Proof Library,./proof.html,OK,YES,LIMITATION,,
archive/pre-site-upgrade-20260602/microsoft-365-lab.html,Architecture evidence notes,./evidence-library/architecture/microsoft-365-architecture-overview.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/microsoft-365-lab.html,Conditional Access evidence notes,./evidence-library/conditional-access/conditional-access-baseline-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/microsoft-365-lab.html,Open evidence library index,./evidence-library/index.html,BROKEN,NO,INDEX,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/network-segmentation.html,Proof,./proof.html,OK,YES,LIMITATION,,
archive/pre-site-upgrade-20260602/network-segmentation.html,Open VLAN Case Study,./evidence-library/projects/infrastructure-networking/vlan-architecture-walkthrough-2026.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/network-segmentation.html,Open Architecture Diagram,./evidence-library/architecture-diagrams/vlan-architecture-diagram-dark.svg,BROKEN,NO,VISUAL,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/network-segmentation.html,Network Validation Notes,./evidence-library/network/network-validation-lab-notes.md,BROKEN,NO,PROCEDURE,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/network-segmentation.html,Firewall Rule Evidence,./evidence-library/network/firewall-rules-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/network-segmentation.html,Switch and VLAN notes,./evidence-library/network/network-validation-lab-notes.md,BROKEN,NO,PROCEDURE,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/network-segmentation.html,VLAN architecture case study,./evidence-library/projects/infrastructure-networking/vlan-architecture-walkthrough-2026.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/network-segmentation.html,VPN configuration evidence,./evidence-library/vpn/vpn-configuration-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/network-segmentation.html,DHCP/DNS evidence,./evidence-library/network/dhcp-dns-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/network-segmentation.html,Firewall evidence,./evidence-library/network/firewall-rules-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/network-segmentation.html,VPN evidence,./evidence-library/vpn/vpn-configuration-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/powershell-automation.html,Proof,./proof.html,OK,YES,LIMITATION,,
archive/pre-site-upgrade-20260602/powershell-automation.html,Open Provisioning Evidence,./evidence-library/automation/provisioning-script-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/powershell-automation.html,Open Change Record Evidence,./evidence-library/automation/provisioning-change-record-evidence.md,BROKEN,NO,PROCEDURE,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/powershell-automation.html,Open Framework Evidence,./evidence-library/automation/automation-framework-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/powershell-automation.html,Provisioning script evidence,./evidence-library/automation/provisioning-script-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/powershell-automation.html,Provisioning change evidence,./evidence-library/automation/provisioning-change-record-evidence.md,BROKEN,NO,PROCEDURE,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/powershell-automation.html,Automation framework evidence,./evidence-library/automation/automation-framework-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/projects.html,Proof,./proof.html,OK,YES,LIMITATION,,
