"Date (UTC)","CorrelationId","Service","Category","Activity","Result","ResultReason","User Agent","ActorType","ActorDisplayName","ActorObjectId","ActorUserPrincipalName","IPAddress","ActorHomeTenantId","ActorHomeTenantName","ActorServicePrincipalId","ActorServicePrincipalName","Target1Type","Target1DisplayName","Target1ObjectId","Target1UserPrincipalName","Target1ModifiedProperty1Name","Target1ModifiedProperty1OldValue","Target1ModifiedProperty1NewValue","Target1ModifiedProperty2Name","Target1ModifiedProperty2OldValue","Target1ModifiedProperty2NewValue","Target1ModifiedProperty3Name","Target1ModifiedProperty3OldValue","Target1ModifiedProperty3NewValue","Target1ModifiedProperty4Name","Target1ModifiedProperty4OldValue","Target1ModifiedProperty4NewValue","Target1ModifiedProperty5Name","Target1ModifiedProperty5OldValue","Target1ModifiedProperty5NewValue","Target2Type","Target2DisplayName","Target2ObjectId","Target2UserPrincipalName","Target2ModifiedProperty1Name","Target2ModifiedProperty1OldValue","Target2ModifiedProperty1NewValue","Target2ModifiedProperty2Name","Target2ModifiedProperty2OldValue","Target2ModifiedProperty2NewValue","Target2ModifiedProperty3Name","Target2ModifiedProperty3OldValue","Target2ModifiedProperty3NewValue","Target2ModifiedProperty4Name","Target2ModifiedProperty4OldValue","Target2ModifiedProperty4NewValue","Target2ModifiedProperty5Name","Target2ModifiedProperty5OldValue","Target2ModifiedProperty5NewValue","Target3Type","Target3DisplayName","Target3ObjectId","Target3UserPrincipalName","Target3ModifiedProperty1Name","Target3ModifiedProperty1OldValue","Target3ModifiedProperty1NewValue","Target3ModifiedProperty2Name","Target3ModifiedProperty2OldValue","Target3ModifiedProperty2NewValue","Target3ModifiedProperty3Name","Target3ModifiedProperty3OldValue","Target3ModifiedProperty3NewValue","Target3ModifiedProperty4Name","Target3ModifiedProperty4OldValue","Target3ModifiedProperty4NewValue","Target3ModifiedProperty5Name","Target3ModifiedProperty5OldValue","Target3ModifiedProperty5NewValue","AdditionalDetail1Key","AdditionalDetail1Value","AdditionalDetail2Key","AdditionalDetail2Value","AdditionalDetail3Key","AdditionalDetail3Value","AdditionalDetail4Key","AdditionalDetail4Value","AdditionalDetail5Key","AdditionalDetail5Value","AdditionalDetail6Key","AdditionalDetail6Value"
"2026-09-21T21:44:23.266687Z","1716993e-0d80-4812-8ade-adcd6d494a00","Account Provisioning","ProvisioningManagement","Execution","Success","Started new iteration to synchronize changes for application ad.jeremyfontenot.online","","Application","Azure AD Cloud Sync","","","","","","","","ServicePrincipal","ad.jeremyfontenot.online","58531f6b-3016-4d86-920a-58ac6bc26f30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Details","Job ID: AD2AADPasswordHash.c5c3563013b64e04b40365f725a22494.62194e33-bfb8-46e1-a895-4b4b5416f1fd","ErrorCode","","EventName","ProvisioningJobStartedIncrementalSync","JoiningProperty","","SourceAnchor","","TargetAnchor",""
"2026-09-21T21:39:18.315573Z","38ebcfeb-223a-4103-aedf-54c67ebe0e7e","Account Provisioning","ProvisioningManagement","Execution","Success","Started new iteration to synchronize changes for application ad.jeremyfontenot.online","","Application","Azure AD Cloud Sync","","","","","","","","ServicePrincipal","ad.jeremyfontenot.online","58531f6b-3016-4d86-920a-58ac6bc26f30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Details","Job ID: AD2AADPasswordHash.c5c3563013b64e04b40365f725a22494.62194e33-bfb8-46e1-a895-4b4b5416f1fd","ErrorCode","","EventName","ProvisioningJobStartedIncrementalSync","JoiningProperty","","SourceAnchor","","TargetAnchor",""
"2026-09-21T21:39:14.111975Z","888672ab-ca29-4b3e-b0e5-ac102ab800bd","Account Provisioning","ProvisioningManagement","Import","Success","Retrieved TenantDetail '1x76s5767' from Microsoft Entra ID","","Application","Azure AD Cloud Sync","","","","","","","","ServicePrincipal","","00000000-0000-0000-0000-000000000000","","objectId","","""c5c35630-13b6-4e04-b403-65f725a22494""","dirSyncEnabled","","""True""","countryLetterCode","","""US""","displayName","","""1x76s5767""","technicalNotificationMails","","""Jeremy.Fontenot@us.logicalis.com""","Other","1x76s5767","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Details","","ErrorCode","","EventName","EntryImport","JoiningProperty","1x76s5767","SourceAnchor","c5c35630-13b6-4e04-b403-65f725a22494","TargetAnchor",""
"2026-09-21T21:37:20.159182Z","7328d2f0-94dc-4357-8ea2-11a74dfeca4a","Account Provisioning","ProvisioningManagement","Execution","Success","Started new iteration to synchronize changes for application ad.jeremyfontenot.online","","Application","Azure AD Cloud Sync","","","","","","","","ServicePrincipal","ad.jeremyfontenot.online","58531f6b-3016-4d86-920a-58ac6bc26f30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Details","Job ID: AD2AADProvisioning.c5c3563013b64e04b40365f725a22494.62194e33-bfb8-46e1-a895-4b4b5416f1fd","ErrorCode","","EventName","ProvisioningJobStartedIncrementalSync","JoiningProperty","","SourceAnchor","","TargetAnchor",""
"2026-09-21T21:37:16.531193Z","1f2274e7-f03c-4c6b-ab7f-7769f27ec22b","Account Provisioning","ProvisioningManagement","Import","Success","Retrieved TenantDetail '1x76s5767' from Microsoft Entra ID","","Application","Azure AD Cloud Sync","","","","","","","","ServicePrincipal","","00000000-0000-0000-0000-000000000000","","objectId","","""c5c35630-13b6-4e04-b403-65f725a22494""","dirSyncEnabled","","""True""","countryLetterCode","","""US""","displayName","","""1x76s5767""","technicalNotificationMails","","""Jeremy.Fontenot@us.logicalis.com""","Other","1x76s5767","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Details","","ErrorCode","","EventName","EntryImport","JoiningProperty","1x76s5767","SourceAnchor","c5c35630-13b6-4e04-b403-65f725a22494","TargetAnchor",""
"2026-09-21T21:36:32.249605Z","07d19576-47e8-44a1-ae31-ad5b8a87c407","Account Provisioning","ProvisioningManagement","Execution","Success","Started new iteration to synchronize changes for application ad.jeremyfontenot.online","","Application","Azure AD Cloud Sync","","","","","","","","ServicePrincipal","ad.jeremyfontenot.online","58531f6b-3016-4d86-920a-58ac6bc26f30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Details","Job ID: AD2AADPasswordHash.c5c3563013b64e04b40365f725a22494.62194e33-bfb8-46e1-a895-4b4b5416f1fd","ErrorCode","","EventName","ProvisioningJobStartedIncrementalSync","JoiningProperty","","SourceAnchor","","TargetAnchor",""
"2026-09-21T21:36:25.831918Z","5e93594c-49f3-4075-8c46-655d5e408943","Account Provisioning","ProvisioningManagement","Import","Success","Retrieved TenantDetail '1x76s5767' from Microsoft Entra ID","","Application","Azure AD Cloud Sync","","","","","","","","ServicePrincipal","","00000000-0000-0000-0000-000000000000","","objectId","","""c5c35630-13b6-4e04-b403-65f725a22494""","dirSyncEnabled","","""True""","countryLetterCode","","""US""","displayName","","""1x76s5767""","technicalNotificationMails","","""Jeremy.Fontenot@us.logicalis.com""","Other","1x76s5767","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Details","","ErrorCode","","EventName","EntryImport","JoiningProperty","1x76s5767","SourceAnchor","c5c35630-13b6-4e04-b403-65f725a22494","TargetAnchor",""
"2026-09-21T21:34:12.160109Z","c8be52e7-d53f-4aca-a215-a413472eb3c3","Account Provisioning","ProvisioningManagement","Execution","Success","Started new iteration to synchronize changes for application ad.jeremyfontenot.online","","Application","Azure AD Cloud Sync","","","","","","","","ServicePrincipal","ad.jeremyfontenot.online","58531f6b-3016-4d86-920a-58ac6bc26f30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Details","Job ID: AD2AADPasswordHash.c5c3563013b64e04b40365f725a22494.62194e33-bfb8-46e1-a895-4b4b5416f1fd","ErrorCode","","EventName","ProvisioningJobStartedIncrementalSync","JoiningProperty","","SourceAnchor","","TargetAnchor",""
"2026-09-21T21:29:06.210387Z","fb44d201-c6e7-4ca4-b315-73f9e448a002","Account Provisioning","ProvisioningManagement","Execution","Success","Started new iteration to synchronize changes for application ad.jeremyfontenot.online","","Application","Azure AD Cloud Sync","","","","","","","","ServicePrincipal","ad.jeremyfontenot.online","58531f6b-3016-4d86-920a-58ac6bc26f30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Details","Job ID: AD2AADPasswordHash.c5c3563013b64e04b40365f725a22494.62194e33-bfb8-46e1-a895-4b4b5416f1fd","ErrorCode","","EventName","ProvisioningJobStartedIncrementalSync","JoiningProperty","","SourceAnchor","","TargetAnchor",""
"2026-09-21T21:26:31.807387Z","51ab8eec-33b3-44be-be29-56f1cf3e4f6e","Account Provisioning","ProvisioningManagement","Execution","Success","Started new iteration to synchronize changes for application ad.jeremyfontenot.online","","Application","Azure AD Cloud Sync","","","","","","","","ServicePrincipal","ad.jeremyfontenot.online","58531f6b-3016-4d86-920a-58ac6bc26f30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Details","Job ID: AD2AADPasswordHash.c5c3563013b64e04b40365f725a22494.62194e33-bfb8-46e1-a895-4b4b5416f1fd","ErrorCode","","EventName","ProvisioningJobStartedIncrementalSync","JoiningProperty","","SourceAnchor","","TargetAnchor",""
